103133089659,地铁口  毛坯房 50平方私家花园 上下两层叠墅,https://hz.lianjia.com/ershoufang/103133089659.html,云彩之城 ,萧山开发区,39569元/平,400万,3室2厅 | 101.09平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 暂无数据,2024-08-03 23:21:07
103133787208,精装修 四叶草户型 南北通 中间楼层 税少,https://hz.lianjia.com/ershoufang/103133787208.html,东旭府 ,义桥,17412元/平,205万,4室2厅 | 117.74平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2024-08-03 23:21:07
103131436003,招商央企品质小区 二号线建设一路地铁口 业主诚售,https://hz.lianjia.com/ershoufang/103131436003.html,招商蛇口花屿观澜里 ,萧山新城区,39347元/平,465万,4室2厅 | 118.18平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,2024-08-03 23:21:07
103134540095,萧山南卧融望之城全新未入住看房方便,https://hz.lianjia.com/ershoufang/103134540095.html,融望之城 ,南部卧城,24880元/平,325万,4室2厅 | 130.63平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2024-08-03 23:21:07
103132384607,满五年，边套，南北通透，户型全明，拓展20方，诚心卖,https://hz.lianjia.com/ershoufang/103132384607.html,恒大帝景 ,南部卧城,24551元/平,220万,3室2厅 | 89.61平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-03 23:21:07
103132226364,滨江造 奥体世纪城边套户型 景观视野好，采光好。,https://hz.lianjia.com/ershoufang/103132226364.html,君品名邸 ,钱江世纪城,64807元/平,799万,4室2厅 | 123.29平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-03 23:21:07
103132100274,满二唯一 楼层好  保养好 房东诚心出售看房有密码,https://hz.lianjia.com/ershoufang/103132100274.html,通惠江南名府 ,萧山新城区,30761元/平,275万,3室1厅 | 89.4平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2024-08-03 23:21:07
103134104926,边厅带阳台，实用小四房，全明南北通，公区功能完备,https://hz.lianjia.com/ershoufang/103134104926.html,日耀之城 ,钱江世纪城,53267元/平,676万,4室2厅 | 126.91平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:21:07
103127692583,钱江世纪城旁，高品质次新小区，3房2卫，诚售,https://hz.lianjia.com/ershoufang/103127692583.html,景瑞晴海 ,钱江世纪城,26199元/平,258万,3室2厅 | 98.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:21:07
103133354825,品质小区，精装交付，靠奥体，近滨江,https://hz.lianjia.com/ershoufang/103133354825.html,云章映月华庭 ,萧山新城区,39388元/平,350万,3室2厅 | 88.86平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:21:07
103132063077,高楼层 中间套 三居室 诚心卖 看不到公墓,https://hz.lianjia.com/ershoufang/103132063077.html,乐虹湾 ,湘湖,37905元/平,340万,3室1厅 | 89.7平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-03 23:21:07
103131948218,滨江三房精装修中高楼层次新房地铁口诚心出售,https://hz.lianjia.com/ershoufang/103131948218.html,滨江御虹府 ,钱江世纪城,54978元/平,565万,3室2厅 | 102.77平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:21:07
103133669156,繁华地带，配套齐，各大综合体齐聚左右500米内,https://hz.lianjia.com/ershoufang/103133669156.html,天润商业中心 ,萧山市区,16602元/平,93万,2室1厅 | 56.02平米 | 北 | 简装 | 低楼层(共22层)  | 板塔结合,2024-08-03 23:21:07
103133233584,次新小区，万科统一精装修，万科物业，小区品质好,https://hz.lianjia.com/ershoufang/103133233584.html,云章映月华庭 ,萧山新城区,35465元/平,315万,3室2厅 | 88.82平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:21:07
103124975231,楼层好 精装修交付 纯边套 采光视野辽阔 户型方正,https://hz.lianjia.com/ershoufang/103124975231.html,悦风荷锦庭 ,义桥,18086元/平,178万,3室2厅 | 98.42平米 | 西 | 精装 | 中楼层(共21层)  | 板楼,2024-08-03 23:21:07
103134193668,临水户型 格局方正 视野景观好 诚心出售 条件可谈,https://hz.lianjia.com/ershoufang/103134193668.html,日耀之城 ,钱江世纪城,58963元/平,848万,4室2厅 | 143.82平米 | 东 南 | 精装 | 24层  | 板楼,2024-08-03 23:21:07
103132242968,小区19幢开发商精装交付，业主诚心出售，满五无大税,https://hz.lianjia.com/ershoufang/103132242968.html,顺发恒园 ,萧山新城区,39619元/平,349万,3室2厅 | 88.09平米 | 南 | 精装 | 33层  | 板楼,2024-08-03 23:21:07
103119611346,钱江世纪城板块 振宁路地铁口 大三房 满五年,https://hz.lianjia.com/ershoufang/103119611346.html,恒泰御庭园 ,钱江世纪城,20091元/平,315万,4室2厅 | 156.79平米 | 南 | 精装 | 12层  | 板塔结合,2024-08-03 23:21:07
103131544237,奥体天璞，四叶草中高层，业主诚心出售。,https://hz.lianjia.com/ershoufang/103131544237.html,天璞御园 ,钱江世纪城,68667元/平,950万,4室2厅 | 138.35平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-03 23:21:07
103131281000,中间楼层 视野好 采光好 诚心卖,https://hz.lianjia.com/ershoufang/103131281000.html,景宸天玺名城 ,萧山新城区,40328元/平,355万,3室2厅 | 88.03平米 | 南 | 毛坯 | 34层  | 板楼,2024-08-03 23:21:07
103128959304,"此房新交房户型方正,通透性强,楼层采光好",https://hz.lianjia.com/ershoufang/103128959304.html,保利欣品华庭 ,萧山开发区,23790元/平,228万,3室2厅 | 95.84平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,2024-08-03 23:21:07
103123168129,精装60万，满五不唯一 拎包入住，看房方便,https://hz.lianjia.com/ershoufang/103123168129.html,华瑞湘湖美地 ,湘湖,24238元/平,305万,3室2厅 | 125.84平米 | 南 北 | 精装 | 7层  | 板楼,2024-08-03 23:21:07
103132183892,世纪城 崇文 精装三房 楼间距大采光无遮挡,https://hz.lianjia.com/ershoufang/103132183892.html,世纪之光 ,钱江世纪城,37725元/平,305万,3室2厅 | 80.85平米 | 南 | 精装 | 16层  | 板楼,2024-08-03 23:21:07
103129443959,不靠高架，户型好，大阳台采光好，诚心出售，价格可谈,https://hz.lianjia.com/ershoufang/103129443959.html,湘湖人家 ,闻堰,17558元/平,155万,2室2厅 | 88.28平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2024-08-03 23:21:07
103127965308,通燃气  两室一厅 宝龙配套成熟商圈,https://hz.lianjia.com/ershoufang/103127965308.html,宝龙城市广场 ,萧山新城区,12655元/平,99万,2室1厅 | 78.23平米 | 南 | 简装 | 23层  | 板楼,2024-08-03 23:21:07
103132417182,满二唯一，精装修四房，全明户型，采光充足，楼层好,https://hz.lianjia.com/ershoufang/103132417182.html,开元名郡 ,南部卧城,24086元/平,330万,4室2厅 | 137.01平米 | 东南 南 | 精装 | 高楼层(共20层)  | 板楼,2024-08-03 23:21:07
103132679892,房子全新装修 没住过人 拎包入住 户型方正视野好,https://hz.lianjia.com/ershoufang/103132679892.html,德信金科泊岸江宸轩 ,南部卧城,19539元/平,210万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-03 23:21:07
103134804258,7号线新街站300米，开发商精装修，复式两房，朝南,https://hz.lianjia.com/ershoufang/103134804258.html,融创印时代 ,萧山开发区,14127元/平,75万,2室2厅 | 53.09平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,2024-08-03 23:21:07
103128122764,中间楼层，近地铁，业主诚售，包增值税,https://hz.lianjia.com/ershoufang/103128122764.html,中誉现代城 ,萧山新城区,18812元/平,125万,1室1厅 | 66.45平米 | 北 | 简装 | 低楼层(共17层)  | 板楼,2024-08-03 23:21:07
103130501472,奥邸国际高区大平层  视野开阔 采光充足 诚心出售,https://hz.lianjia.com/ershoufang/103130501472.html,保亿绿城奥邸国际 ,奥体,67063元/平,271万,3室2厅 | 40.41平米 | 东 南 北 | 精装 | 中楼层(共54层)  | 板楼,2024-08-03 23:21:07
103129652690,5号线地铁口，中间楼层，正对游泳池采光好,https://hz.lianjia.com/ershoufang/103129652690.html,得力名望府 ,萧山开发区,24879元/平,148万,2室2厅 | 59.49平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-03 23:21:07
103119274044,业主诚心出售，东边套，看房方便,https://hz.lianjia.com/ershoufang/103119274044.html,滨江江南之星 ,萧山新城区,43084元/平,550万,4室2厅 | 127.66平米 | 东 南 北 | 毛坯 | 34层  | 板楼,2024-08-03 23:21:07
103130080435,近奥体！晴瑞里97方大三房 双阳台，诚心卖！价格可谈,https://hz.lianjia.com/ershoufang/103130080435.html,景瑞晴海 ,钱江世纪城,27398元/平,268万,3室2厅 | 97.82平米 | 南 北 | 精装 | 26层  | 板楼,2024-08-03 23:21:07
103132944938,雅逸府业主自住精装修，看房方便，诚心出售等待有缘人,https://hz.lianjia.com/ershoufang/103132944938.html,中铁诺德雅逸府 ,萧山开发区,26981元/平,235万,3室1厅 | 87.1平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,2024-08-03 23:21:07
103133384826,江南学府 中高楼层 采光视线好 诚心出售,https://hz.lianjia.com/ershoufang/103133384826.html,融信江南学府 ,萧山新城区,38915元/平,340万,3室2厅 | 87.37平米 | 南 | 简装 | 33层  | 板楼,2024-08-03 23:21:07
103131846871,南阳地铁口 95方三房两卫 东边套 诚心,https://hz.lianjia.com/ershoufang/103131846871.html,阅杭里 ,大江东,18529元/平,176万,3室2厅 | 94.99平米 | 南 北 | 精装 | 10层  | 板楼,2024-08-03 23:21:07
103133781222,江南国际城 精装修 领包入住 次新小区 业主诚售,https://hz.lianjia.com/ershoufang/103133781222.html,中国铁建江南国际城 ,萧山新城区,42353元/平,368万,3室2厅 | 86.89平米 | 南 北 | 精装 | 34层  | 板塔结合,2024-08-03 23:21:07
103134824411,银泰旁精装交付全明三房，品质小区即买即住，高档物业,https://hz.lianjia.com/ershoufang/103134824411.html,金地滨与城 ,义桥,15431元/平,146万,3室2厅 | 94.62平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,2024-08-03 23:21:07
103124534319,杭州湾信息港北面、滨江和奥体板块合围，地铁7号线口,https://hz.lianjia.com/ershoufang/103124534319.html,英冠乐创城 ,萧山新城区,22536元/平,96万,2室1厅 | 42.6平米 | 南 | 精装 | 21层  | 板楼,2024-08-03 23:21:07
103125466038,房东要出国啦 忍痛割爱 含车位 无噪音影响,https://hz.lianjia.com/ershoufang/103125466038.html,滨江新城东方名府 ,萧山新城区,31613元/平,390万,4室2厅 | 123.37平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,2024-08-03 23:21:07
103131906955,招商央企品质小区 二号线建设一路地铁口 业主诚售,https://hz.lianjia.com/ershoufang/103131906955.html,招商蛇口花屿观澜里 ,萧山新城区,37379元/平,385万,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,2024-08-03 23:21:07
103130889235,招商闻博花城，满二，四叶草大平层，装修好。,https://hz.lianjia.com/ershoufang/103130889235.html,闻博花城 ,萧山新城区,42187元/平,639万,4室2厅 | 151.47平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-03 23:21:07
103131876770,邂逅诗意生活，春和钱塘满两年，高楼层，一步印象城！,https://hz.lianjia.com/ershoufang/103131876770.html,金昌春和钱塘 ,钱江世纪城,41079元/平,355万,3室2厅 | 86.42平米 | 南 | 简装 | 19层  | 板塔结合,2024-08-03 23:21:07
103131801360,不靠高架，高得房率，三联阳台，好楼层,https://hz.lianjia.com/ershoufang/103131801360.html,阳光城滨奥悦府 ,钱江世纪城,61420元/平,650万,3室2厅 | 105.83平米 | 南 | 精装 | 17层  | 板楼,2024-08-03 23:21:07
103133847104,一楼多层洋房+有架空+有菜园+按毛坯价+诚心卖,https://hz.lianjia.com/ershoufang/103133847104.html,三水一生 ,义桥,16187元/平,212万,3室2厅 | 130.97平米 | 南 | 精装 | 5层  | 板楼,2024-08-03 23:21:07
103134127685,西边套横厅精装修，客厅宽绰，楼层好，太阳无遮无拦,https://hz.lianjia.com/ershoufang/103134127685.html,世纪之光 ,钱江世纪城,47208元/平,596万,4室1厅 | 126.25平米 | 南 | 精装 | 17层  | 板楼,2024-08-03 23:21:07
103123443831,地铁口 小区中间位置  满五唯一 精装修30万  业主急卖,https://hz.lianjia.com/ershoufang/103123443831.html,得力名望府 ,萧山开发区,22895元/平,205万,3室2厅 | 89.54平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:21:07
103129652690,5号线地铁口，中间楼层，正对游泳池采光好,https://hz.lianjia.com/ershoufang/103129652690.html,得力名望府 ,萧山开发区,24879元/平,148万,2室2厅 | 59.49平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-03 23:21:07
103132184569,香悦半岛小区 双阳台户型  精装修好楼层 诚心出售,https://hz.lianjia.com/ershoufang/103132184569.html,新城香悦半岛 ,南部卧城,24195元/平,269万,3室2厅 | 111.18平米 | 东 | 精装 | 低楼层(共30层)  | 板楼,2024-08-03 23:21:07
103134812467,亚运村板块 刚需三房 中间楼层 诚心出售,https://hz.lianjia.com/ershoufang/103134812467.html,顺发康庄 ,钱江世纪城,22483元/平,198万,3室2厅 | 88.07平米 | 南 | 简装 | 29层  | 板楼,2024-08-03 23:21:07
103131301639,多层好楼层 诚心出售 看房方便,https://hz.lianjia.com/ershoufang/103131301639.html,华瑞湘湖美地 ,湘湖,22324元/平,285万,3室2厅 | 127.67平米 | 南 | 简装 | 7层  | 板楼,2024-08-03 23:21:07
103121137448,君宸，自住装修，7号线，看房方便,https://hz.lianjia.com/ershoufang/103121137448.html,德信君宸 ,萧山新城区,36448元/平,325万,3室2厅 | 89.17平米 | 南 | 精装 | 23层  | 板楼,2024-08-03 23:21:07
103132384607,满五年，边套，南北通透，户型全明，拓展20方，诚心卖,https://hz.lianjia.com/ershoufang/103132384607.html,恒大帝景 ,南部卧城,24551元/平,220万,3室2厅 | 89.61平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-03 23:21:07
103127531295,阳光城上府精装好房诚心出售满五年,https://hz.lianjia.com/ershoufang/103127531295.html,阳光城上府 ,西兴,37166元/平,460万,4室2厅 | 123.77平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,2024-08-03 23:21:07
103131948218,滨江三房精装修中高楼层次新房地铁口诚心出售,https://hz.lianjia.com/ershoufang/103131948218.html,滨江御虹府 ,钱江世纪城,54978元/平,565万,3室2厅 | 102.77平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:21:07
103132660595,钱江世纪城板块 振宁路地铁口 小洋房 得房率高 诚心卖,https://hz.lianjia.com/ershoufang/103132660595.html,顺丰家园 ,钱江世纪城,25907元/平,160万,2室1厅 | 61.76平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,2024-08-03 23:21:07
103133401125,万科世纪之光  崇文旁  自住精装修 保养好 诚售,https://hz.lianjia.com/ershoufang/103133401125.html,世纪之光 ,钱江世纪城,42465元/平,346万,3室2厅 | 81.48平米 | 南 | 精装 | 15层  | 板楼,2024-08-03 23:21:07
103127148949,房东诚心卖，楼层好，看房方便，湖景房，价格可谈。,https://hz.lianjia.com/ershoufang/103127148949.html,佳源.湘印府 ,义桥,22824元/平,205万,3室2厅 | 89.82平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,2024-08-03 23:21:07
103130411428,采光好 业主诚心出售 户型方正,https://hz.lianjia.com/ershoufang/103130411428.html,美之园西区 ,湘湖,23598元/平,225万,3室2厅 | 95.35平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2024-08-03 23:21:07
103134283985,金色钱塘 4室1厅 东南 西南,https://hz.lianjia.com/ershoufang/103134283985.html,金色钱塘 ,萧山新城区,24435元/平,360万,4室1厅 | 147.33平米 | 东南 西南 | 简装 | 11层  | 板塔结合,2024-08-03 23:21:07
103133772151,南润名座，低总价，楼层视野佳，诚心出售。,https://hz.lianjia.com/ershoufang/103133772151.html,南润名座 ,南部卧城,10599元/平,40万,1室1厅 | 37.74平米 | 南 | 精装 | 低楼层(共19层)  | 塔楼,2024-08-03 23:21:07
103134549662,南临水博园，北临钱塘江，业主诚心出售,https://hz.lianjia.com/ershoufang/103134549662.html,科尔世纪外滩 ,萧山科技城,21383元/平,189万,3室1厅 | 88.39平米 | 南 | 毛坯 | 28层  | 板塔结合,2024-08-03 23:21:07
103132216873,业主诚心出售 采光充足 视野宽阔,https://hz.lianjia.com/ershoufang/103132216873.html,南城景园 ,南部卧城,16031元/平,139万,3室2厅 | 86.71平米 | 南 | 精装 | 6层  | 板楼,2024-08-03 23:21:07
103127692583,钱江世纪城旁，高品质次新小区，3房2卫，诚售,https://hz.lianjia.com/ershoufang/103127692583.html,景瑞晴海 ,钱江世纪城,26199元/平,258万,3室2厅 | 98.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:21:07
103133176515,绿城品质，边套户型，好楼层，精装修，房东诚心出售,https://hz.lianjia.com/ershoufang/103133176515.html,桂语听澜轩 ,萧山新城区,50543元/平,657万,4室2厅 | 129.99平米 | 南 西 北 | 精装 | 高楼层(共26层)  | 板塔结合,2024-08-03 23:21:07
103131933743,银河北干  东边套大三房户型  拎包入住,https://hz.lianjia.com/ershoufang/103131933743.html,萧悦中御府 ,萧山新城区,30882元/平,340万,3室2厅 | 110.1平米 | 南 | 精装 | 33层  | 板楼,2024-08-03 23:21:07
103131659062,无增值税中高楼层东边套自住精装修大四房,https://hz.lianjia.com/ershoufang/103131659062.html,澜颂奥府 ,萧山新城区,40556元/平,470万,4室2厅 | 115.89平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:21:07
103134273753,高层边套 视野开阔无遮挡 精装带地暖 看房方便 带车位,https://hz.lianjia.com/ershoufang/103134273753.html,顺发江南丽锦 ,钱江世纪城,43707元/平,608万,5室2厅 | 139.11平米 | 南 | 精装 | 30层  | 板塔结合,2024-08-03 23:21:07
103132226364,滨江造 奥体世纪城边套户型 景观视野好，采光好。,https://hz.lianjia.com/ershoufang/103132226364.html,君品名邸 ,钱江世纪城,64807元/平,799万,4室2厅 | 123.29平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-03 23:21:07
103132189027,自住精装修，飘窗已经全部敲掉，,https://hz.lianjia.com/ershoufang/103132189027.html,德信泊林春天 ,钱江世纪城,24571元/平,220万,3室2厅 | 89.54平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,2024-08-03 23:21:07
103133179315,中高楼层 自住精装 三面朝南 满五唯一 诚心出售,https://hz.lianjia.com/ershoufang/103133179315.html,德圣博奥城 ,萧山新城区,34497元/平,265万,2室1厅 | 76.82平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:21:07
103133458638,市北版块儿---低总价70年住宅产权,https://hz.lianjia.com/ershoufang/103133458638.html,嘉利公寓 ,萧山新城区,17440元/平,79万,1室1厅 | 45.3平米 | 北 | 简装 | 8层  | 板楼,2024-08-03 23:21:07
103134605693,日耀之城144方四叶草格局，好楼层，诚心出,https://hz.lianjia.com/ershoufang/103134605693.html,日耀之城 ,钱江世纪城,53959元/平,777万,4室2厅 | 144平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:21:07
103121163673,房子满五不唯一，精装修25万，房东诚心出售,https://hz.lianjia.com/ershoufang/103121163673.html,金域兰庭 ,义桥,17806元/平,160万,3室2厅 | 89.86平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2024-08-03 23:21:07
103126158932,万科开发 有中Y空调、地暖和新风系统 户型好 采光足,https://hz.lianjia.com/ershoufang/103126158932.html,樟宜翠湾 ,南部卧城,25607元/平,248万,3室2厅 | 96.85平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2024-08-03 23:21:07
103134155022,次新小区，一梯两户，纯边套，大横厅，自住精装,https://hz.lianjia.com/ershoufang/103134155022.html,东旭府 ,义桥,18377元/平,165万,3室2厅 | 89.79平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,2024-08-03 23:21:07
103134096369,此房配 合满二无大税，格局好采光好，生活配套齐全,https://hz.lianjia.com/ershoufang/103134096369.html,澄之华庭北区 ,钱江世纪城,66545元/平,980万,4室2厅 | 147.27平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:21:07
103133794029,好楼层，泳池景观，宽阔餐客厅 改善大四房3卫,https://hz.lianjia.com/ershoufang/103133794029.html,绿城沁桂轩 ,萧山新城区,41104元/平,690万,4室2厅 | 167.87平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,2024-08-03 23:21:07
103133418062,楼层 视野采光 居住感好 可看泳池 进出方便,https://hz.lianjia.com/ershoufang/103133418062.html,滨江滨涛映月 ,萧山新城区,37784元/平,405万,3室2厅 | 107.19平米 | 南 | 精装 | 26层  | 板塔结合,2024-08-03 23:21:07
103124483714,东旭府 精装修4房 楼层好 户型南北通,https://hz.lianjia.com/ershoufang/103124483714.html,东旭府 ,义桥,16669元/平,200万,4室2厅 | 119.99平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-03 23:21:07
103130565205,江湾城 精装修小三室 诚心出售 看房方便,https://hz.lianjia.com/ershoufang/103130565205.html,锦浦江岸公寓 ,义桥,19163元/平,163万,3室2厅 | 85.06平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,2024-08-03 23:21:07
103133880598,融创品质地铁口，诚心出售，精装修，价格可谈,https://hz.lianjia.com/ershoufang/103133880598.html,融创东南海 ,萧山开发区,26681元/平,235万,3室2厅 | 88.08平米 | 南 | 简装 | 27层  | 板塔结合,2024-08-03 23:21:07
103132319983,四叶草经典户型 格局视野宽阔 采光充足  年中旬满二年,https://hz.lianjia.com/ershoufang/103132319983.html,澄之华庭北区 ,钱江世纪城,61750元/平,920万,4室2厅 | 148.99平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:21:07
103132485996,楼下地铁7号线精装修，4.5米层高,https://hz.lianjia.com/ershoufang/103132485996.html,英冠乐创城 ,萧山新城区,21001元/平,89万,2室1厅 | 42.38平米 | 北 | 精装 | 21层  | 板楼,2024-08-03 23:21:07
103132096145,龙湖春江悦茗 中高楼层 诚心出售,https://hz.lianjia.com/ershoufang/103132096145.html,龙湖旭辉春江悦茗 ,萧山新城区,36855元/平,299万,3室2厅 | 81.13平米 | 南 | 简装 | 30层  | 板塔结合,2024-08-03 23:21:07
103129754669,精装交付，诚心出售，滨江品质！！！,https://hz.lianjia.com/ershoufang/103129754669.html,星翠澜庭 ,钱江世纪城,53187元/平,570万,3室2厅 | 107.17平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:21:07
103123443831,地铁口 小区中间位置  满五唯一 精装修30万  业主急卖,https://hz.lianjia.com/ershoufang/103123443831.html,得力名望府 ,萧山开发区,22895元/平,205万,3室2厅 | 89.54平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:21:07
103132944938,雅逸府业主自住精装修，看房方便，诚心出售等待有缘人,https://hz.lianjia.com/ershoufang/103132944938.html,中铁诺德雅逸府 ,萧山开发区,26981元/平,235万,3室1厅 | 87.1平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,2024-08-03 23:21:07
103123446408,五号线地铁 旁，精装全屋定制精装修，采光好,https://hz.lianjia.com/ershoufang/103123446408.html,得力名望府 ,萧山开发区,22995元/平,205万,4室2厅 | 89.15平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:21:07
103133264859,地铁口 保利大国璟 开发商精装 品质小区 前排位置,https://hz.lianjia.com/ershoufang/103133264859.html,保利融信大国璟 ,萧山新城区,46636元/平,650万,4室2厅 | 139.38平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,2024-08-03 23:21:07
103133384826,江南学府 中高楼层 采光视线好 诚心出售,https://hz.lianjia.com/ershoufang/103133384826.html,融信江南学府 ,萧山新城区,38915元/平,340万,3室2厅 | 87.37平米 | 南 | 简装 | 33层  | 板楼,2024-08-03 23:21:07
103131846871,南阳地铁口 95方三房两卫 东边套 诚心,https://hz.lianjia.com/ershoufang/103131846871.html,阅杭里 ,大江东,18529元/平,176万,3室2厅 | 94.99平米 | 南 北 | 精装 | 10层  | 板楼,2024-08-03 23:21:07
103119482335,绿城打造 精装交付 有车位，高楼层，视野好，,https://hz.lianjia.com/ershoufang/103119482335.html,绿城九龙仓桂语江南 ,萧山新城区,48264元/平,460万,3室2厅 | 95.31平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,2024-08-03 23:21:07
