103125102689,买一层得两层 房东诚心出售 地铁1。5号线交通方便,https://hz.lianjia.com/ershoufang/103125102689.html,中国铁建江南国际城 ,萧山新城区,39105元/平,470万,6室2厅 | 120.19平米 | 南 | 简装 | 34层  | 板塔结合,2024-08-04 11:21:29
103131513624,地铁口边套大四房 视野无遮挡 采光好楼层佳 车位另算,https://hz.lianjia.com/ershoufang/103131513624.html,保利融信大国璟 ,萧山新城区,46676元/平,650万,4室2厅 | 139.26平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,2024-08-04 11:21:29
103130411428,采光好 业主诚心出售 户型方正,https://hz.lianjia.com/ershoufang/103130411428.html,美之园西区 ,湘湖,23598元/平,225万,3室2厅 | 95.35平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2024-08-04 11:21:29
103134283985,金色钱塘 4室1厅 东南 西南,https://hz.lianjia.com/ershoufang/103134283985.html,金色钱塘 ,萧山新城区,24435元/平,360万,4室1厅 | 147.33平米 | 东南 西南 | 简装 | 11层  | 板塔结合,2024-08-04 11:21:29
103124087614,满二唯一 中高楼层 东边户 安静不临街 小区绿化高,https://hz.lianjia.com/ershoufang/103124087614.html,钱江蓝湾 ,萧山科技城,21475元/平,275万,4室2厅 | 128.06平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,2024-08-04 11:21:29
103125466038,房东要出国啦 忍痛割爱 含车位 无噪音影响,https://hz.lianjia.com/ershoufang/103125466038.html,滨江新城东方名府 ,萧山新城区,31613元/平,390万,4室2厅 | 123.37平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,2024-08-04 11:21:29
103134575192,奥体洋房，前排无遮挡，随时看房，诚心出售！,https://hz.lianjia.com/ershoufang/103134575192.html,顺发美哉美城 ,钱江世纪城,52874元/平,438万,3室2厅 | 82.84平米 | 南 | 简装 | 14层  | 板楼,2024-08-04 11:21:29
103121163673,房子满五不唯一，精装修25万，房东诚心出售,https://hz.lianjia.com/ershoufang/103121163673.html,金域兰庭 ,义桥,17806元/平,160万,3室2厅 | 89.86平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2024-08-04 11:21:29
103121695966,滨江品质小区 地铁口 次新房 精装修 近滨江,https://hz.lianjia.com/ershoufang/103121695966.html,乐虹湾 ,湘湖,38650元/平,340万,3室2厅 | 87.97平米 | 南 | 精装 | 34层  | 板塔结合,2024-08-04 11:21:29
103131906955,招商央企品质小区 二号线建设一路地铁口 业主诚售,https://hz.lianjia.com/ershoufang/103131906955.html,招商蛇口花屿观澜里 ,萧山新城区,37379元/平,385万,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,2024-08-04 11:21:29
103134472741,湖滨花园三期 干挂石材 精装 中楼层 视野好 价格好谈,https://hz.lianjia.com/ershoufang/103134472741.html,绿都湖滨花园 ,萧山新城区,28804元/平,365万,3室2厅 | 126.72平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2024-08-04 11:21:29
103133880598,融创品质地铁口，诚心出售，精装修，价格可谈,https://hz.lianjia.com/ershoufang/103133880598.html,融创东南海 ,萧山开发区,26681元/平,235万,3室2厅 | 88.08平米 | 南 | 简装 | 27层  | 板塔结合,2024-08-04 11:21:29
103125636477,奥体板块精工之作，碧桂园开发，滨江物业，两梯两户,https://hz.lianjia.com/ershoufang/103125636477.html,柏峰珑悦府 ,钱江世纪城,45553元/平,548万,3室2厅 | 120.3平米 | 南 | 精装 | 18层  | 板楼,2024-08-04 11:21:29
103124483714,东旭府 精装修4房 楼层好 户型南北通,https://hz.lianjia.com/ershoufang/103124483714.html,东旭府 ,义桥,16669元/平,200万,4室2厅 | 119.99平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-04 11:21:29
103132756173,7号线地铁 郡望府 ，精装修，户型方正 无浪费小区,https://hz.lianjia.com/ershoufang/103132756173.html,郡望府 ,萧山开发区,26056元/平,237万,3室2厅 | 90.96平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,2024-08-04 11:21:29
103131513624,地铁口边套大四房 视野无遮挡 采光好楼层佳 车位另算,https://hz.lianjia.com/ershoufang/103131513624.html,保利融信大国璟 ,萧山新城区,46676元/平,650万,4室2厅 | 139.26平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,2024-08-04 11:21:29
103132319983,四叶草经典户型 格局视野宽阔 采光充足  年中旬满二年,https://hz.lianjia.com/ershoufang/103132319983.html,澄之华庭北区 ,钱江世纪城,61750元/平,920万,4室2厅 | 148.99平米 | 南 | 精装 | 25层  | 板楼,2024-08-04 11:21:29
103132485996,楼下地铁7号线精装修，4.5米层高,https://hz.lianjia.com/ershoufang/103132485996.html,英冠乐创城 ,萧山新城区,21001元/平,89万,2室1厅 | 42.38平米 | 北 | 精装 | 21层  | 板楼,2024-08-04 11:21:29
103129626946,婚房装修 滨江南万科品质 刚需三房 好楼层 随时看房,https://hz.lianjia.com/ershoufang/103129626946.html,锦浦江岸公寓 ,义桥,19837元/平,170万,3室2厅 | 85.7平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2024-08-04 11:21:29
103119482335,绿城打造 精装交付 有车位，高楼层，视野好，,https://hz.lianjia.com/ershoufang/103119482335.html,绿城九龙仓桂语江南 ,萧山新城区,48264元/平,460万,3室2厅 | 95.31平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,2024-08-04 11:21:29
103134137848,业主自住精装 现代装修风格 楼层采光好 诚心出售,https://hz.lianjia.com/ershoufang/103134137848.html,华瑞晴庐 ,萧山新城区,30590元/平,275万,3室2厅 | 89.9平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2024-08-04 11:21:29
103133384826,江南学府 中高楼层 采光视线好 诚心出售,https://hz.lianjia.com/ershoufang/103133384826.html,融信江南学府 ,萧山新城区,38915元/平,340万,3室2厅 | 87.37平米 | 南 | 简装 | 33层  | 板楼,2024-08-04 11:21:29
103131846871,南阳地铁口 95方三房两卫 东边套 诚心,https://hz.lianjia.com/ershoufang/103131846871.html,阅杭里 ,大江东,18529元/平,176万,3室2厅 | 94.99平米 | 南 北 | 精装 | 10层  | 板楼,2024-08-04 11:21:29
103132096145,龙湖春江悦茗 中高楼层 诚心出售,https://hz.lianjia.com/ershoufang/103132096145.html,龙湖旭辉春江悦茗 ,萧山新城区,36855元/平,299万,3室2厅 | 81.13平米 | 南 | 简装 | 30层  | 板塔结合,2024-08-04 11:21:29
103124534319,杭州湾信息港北面、滨江和奥体板块合围，地铁7号线口,https://hz.lianjia.com/ershoufang/103124534319.html,英冠乐创城 ,萧山新城区,22536元/平,96万,2室1厅 | 42.6平米 | 南 | 精装 | 21层  | 板楼,2024-08-04 11:21:29
103134155022,次新小区，一梯两户，纯边套，大横厅，自住精装,https://hz.lianjia.com/ershoufang/103134155022.html,东旭府 ,义桥,18377元/平,165万,3室2厅 | 89.79平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,2024-08-04 11:21:29
103131801360,不靠高架，高得房率，三联阳台，好楼层,https://hz.lianjia.com/ershoufang/103131801360.html,阳光城滨奥悦府 ,钱江世纪城,61420元/平,650万,3室2厅 | 105.83平米 | 南 | 精装 | 17层  | 板楼,2024-08-04 11:21:29
103132401281,近奥体滨江 房东诚心卖 不靠高架 满二 采光视野好,https://hz.lianjia.com/ershoufang/103132401281.html,龙湖旭辉春江悦茗 ,萧山新城区,36978元/平,300万,3室2厅 | 81.13平米 | 南 | 精装 | 30层  | 板塔结合,2024-08-04 11:21:29
103134824411,银泰旁精装交付全明三房，品质小区即买即住，高档物业,https://hz.lianjia.com/ershoufang/103134824411.html,金地滨与城 ,义桥,15431元/平,146万,3室2厅 | 94.62平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,2024-08-04 11:21:29
103133847104,一楼多层洋房+有架空+有菜园+按毛坯价+诚心卖,https://hz.lianjia.com/ershoufang/103133847104.html,三水一生 ,义桥,16187元/平,212万,3室2厅 | 130.97平米 | 南 | 精装 | 5层  | 板楼,2024-08-04 11:21:29
103130889235,招商闻博花城，满二，四叶草大平层，装修好。,https://hz.lianjia.com/ershoufang/103130889235.html,闻博花城 ,萧山新城区,42187元/平,639万,4室2厅 | 151.47平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-04 11:21:29
103133414838,"主推房源，市北滨江开发品质小区,楼层好全新未住人！",https://hz.lianjia.com/ershoufang/103133414838.html,滨江滨涛映月 ,萧山新城区,37117元/平,400万,3室2厅 | 107.77平米 | 南 | 精装 | 26层  | 板塔结合,2024-08-04 11:21:29
103133943216,精装修交付，地铁口，不靠高架，随时看房,https://hz.lianjia.com/ershoufang/103133943216.html,阳光城滨奥悦府 ,钱江世纪城,63808元/平,680万,3室2厅 | 106.57平米 | 南 | 精装 | 17层  | 板楼,2024-08-04 11:21:29
103134637144,自住精装 全屋定制 采光无遮挡 满二唯一 诚心出售,https://hz.lianjia.com/ershoufang/103134637144.html,中铁诺德雅逸府 ,萧山开发区,25738元/平,225万,3室2厅 | 87.42平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-04 11:21:29
103133880598,融创品质地铁口，诚心出售，精装修，价格可谈,https://hz.lianjia.com/ershoufang/103133880598.html,融创东南海 ,萧山开发区,26681元/平,235万,3室2厅 | 88.08平米 | 南 | 简装 | 27层  | 板塔结合,2024-08-04 11:21:29
103125636477,奥体板块精工之作，碧桂园开发，滨江物业，两梯两户,https://hz.lianjia.com/ershoufang/103125636477.html,柏峰珑悦府 ,钱江世纪城,45553元/平,548万,3室2厅 | 120.3平米 | 南 | 精装 | 18层  | 板楼,2024-08-04 11:21:29
103127138316,"楼层适中,看智慧之门杭州之门,蓝宝石泳池",https://hz.lianjia.com/ershoufang/103127138316.html,君品名邸 ,钱江世纪城,64729元/平,895万,4室2厅 | 138.27平米 | 西南 | 精装 | 中楼层(共26层)  | 塔楼,2024-08-04 11:21:29
103132900541,精装修带地暖，正对小区景观，采光充足近地铁,https://hz.lianjia.com/ershoufang/103132900541.html,滨江御虹府 ,钱江世纪城,54613元/平,650万,4室2厅 | 119.02平米 | 东南 南 | 精装 | 26层  | 板楼,2024-08-04 11:21:29
103133569661,云章映月华庭  万科品质  高楼层  满二  诚心出售,https://hz.lianjia.com/ershoufang/103133569661.html,云章映月华庭 ,萧山新城区,42369元/平,450万,3室2厅 | 106.21平米 | 东 南 北 | 精装 | 23层  | 板楼,2024-08-04 11:21:29
103120050375,风荷锦庭 精装修大三房 三开间朝南 位置安静 诚心可谈,https://hz.lianjia.com/ershoufang/103120050375.html,悦风荷锦庭 ,义桥,17141元/平,164万,3室2厅 | 95.68平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-04 11:21:29
103134393381,19年交付次新楼盘，中间楼层前无遮挡，采光好,https://hz.lianjia.com/ershoufang/103134393381.html,嘉宸天誉名轩 ,萧山新城区,46302元/平,410万,3室2厅 | 88.55平米 | 南 | 精装 | 34层  | 板楼,2024-08-04 11:21:29
103134166568,户型方正，西边套 视野好 可看钱塘江,https://hz.lianjia.com/ershoufang/103134166568.html,日耀之城 ,钱江世纪城,57030元/平,720万,4室2厅 | 126.25平米 | 南 | 精装 | 30层  | 板楼,2024-08-04 11:21:29
103130128360,奥体低总价 东边套 楼层好 产权清晰 房东诚心出售,https://hz.lianjia.com/ershoufang/103130128360.html,利一家园 ,钱江世纪城,24795元/平,259万,3室2厅 | 104.46平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,2024-08-04 11:21:29
103133458638,市北版块儿---低总价70年住宅产权,https://hz.lianjia.com/ershoufang/103133458638.html,嘉利公寓 ,萧山新城区,17440元/平,79万,1室1厅 | 45.3平米 | 北 | 简装 | 8层  | 板楼,2024-08-04 11:21:29
103132358271,朝阳地铁口300米，滨江开发商，品质小区，精装交付,https://hz.lianjia.com/ershoufang/103132358271.html,朝闻花城 ,南部卧城,29094元/平,280万,3室2厅 | 96.24平米 | 南 | 精装 | 27层  | 塔楼,2024-08-04 11:21:29
103131513624,地铁口边套大四房 视野无遮挡 采光好楼层佳 车位另算,https://hz.lianjia.com/ershoufang/103131513624.html,保利融信大国璟 ,萧山新城区,46676元/平,650万,4室2厅 | 139.26平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,2024-08-04 11:21:29
103121695966,滨江品质小区 地铁口 次新房 精装修 近滨江,https://hz.lianjia.com/ershoufang/103121695966.html,乐虹湾 ,湘湖,38650元/平,340万,3室2厅 | 87.97平米 | 南 | 精装 | 34层  | 板塔结合,2024-08-04 11:21:29
103132319983,四叶草经典户型 格局视野宽阔 采光充足  年中旬满二年,https://hz.lianjia.com/ershoufang/103132319983.html,澄之华庭北区 ,钱江世纪城,61750元/平,920万,4室2厅 | 148.99平米 | 南 | 精装 | 25层  | 板楼,2024-08-04 11:21:29
103124483714,东旭府 精装修4房 楼层好 户型南北通,https://hz.lianjia.com/ershoufang/103124483714.html,东旭府 ,义桥,16669元/平,200万,4室2厅 | 119.99平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-04 11:21:29
103133987981,广泽小区 地铁口 ，刚需两房，采光好 诚心出售,https://hz.lianjia.com/ershoufang/103133987981.html,广泽小区 ,南部卧城,17163元/平,128万,2室2厅 | 74.58平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2024-08-04 11:21:29
103119061086,满二唯一，有车位，好楼层诚心卖,https://hz.lianjia.com/ershoufang/103119061086.html,嘉宸天誉名轩 ,萧山新城区,46841元/平,590万,4室2厅 | 125.96平米 | 东南 | 精装 | 34层  | 板楼,2024-08-04 11:21:29
103132654636,世纪城板块  自住加装50W+ 楼层好  视野宽阔 采光充足,https://hz.lianjia.com/ershoufang/103132654636.html,世纪之光 ,钱江世纪城,48268元/平,606万,4室2厅 | 125.55平米 | 东 南 | 精装 | 16层  | 板楼,2024-08-04 11:21:29
103131933743,银河北干  东边套大三房户型  拎包入住,https://hz.lianjia.com/ershoufang/103131933743.html,萧悦中御府 ,萧山新城区,30882元/平,340万,3室2厅 | 110.1平米 | 南 | 精装 | 33层  | 板楼,2024-08-04 11:21:29
103132059961,雅棠轩大4房  房东出国诚心出售  看房方便,https://hz.lianjia.com/ershoufang/103132059961.html,雅棠轩 ,萧山新城区,31052元/平,400万,4室2厅 | 128.82平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,2024-08-04 11:21:29
103131659062,无增值税中高楼层东边套自住精装修大四房,https://hz.lianjia.com/ershoufang/103131659062.html,澜颂奥府 ,萧山新城区,40556元/平,470万,4室2厅 | 115.89平米 | 南 | 精装 | 27层  | 板楼,2024-08-04 11:21:29
103134273753,高层边套 视野开阔无遮挡 精装带地暖 看房方便 带车位,https://hz.lianjia.com/ershoufang/103134273753.html,顺发江南丽锦 ,钱江世纪城,43707元/平,608万,5室2厅 | 139.11平米 | 南 | 精装 | 30层  | 板塔结合,2024-08-04 11:21:29
103121163673,房子满五不唯一，精装修25万，房东诚心出售,https://hz.lianjia.com/ershoufang/103121163673.html,金域兰庭 ,义桥,17806元/平,160万,3室2厅 | 89.86平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2024-08-04 11:21:29
103134155022,次新小区，一梯两户，纯边套，大横厅，自住精装,https://hz.lianjia.com/ershoufang/103134155022.html,东旭府 ,义桥,18377元/平,165万,3室2厅 | 89.79平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,2024-08-04 11:21:29
103132401281,近奥体滨江 房东诚心卖 不靠高架 满二 采光视野好,https://hz.lianjia.com/ershoufang/103132401281.html,龙湖旭辉春江悦茗 ,萧山新城区,36978元/平,300万,3室2厅 | 81.13平米 | 南 | 精装 | 30层  | 板塔结合,2024-08-04 11:21:29
103129626946,婚房装修 滨江南万科品质 刚需三房 好楼层 随时看房,https://hz.lianjia.com/ershoufang/103129626946.html,锦浦江岸公寓 ,义桥,19837元/平,170万,3室2厅 | 85.7平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2024-08-04 11:21:29
103134472741,湖滨花园三期 干挂石材 精装 中楼层 视野好 价格好谈,https://hz.lianjia.com/ershoufang/103134472741.html,绿都湖滨花园 ,萧山新城区,28804元/平,365万,3室2厅 | 126.72平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2024-08-04 11:21:29
103132756173,7号线地铁 郡望府 ，精装修，户型方正 无浪费小区,https://hz.lianjia.com/ershoufang/103132756173.html,郡望府 ,萧山开发区,26056元/平,237万,3室2厅 | 90.96平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,2024-08-04 11:21:29
103134293693,房东诚售 满二税费少 精装全新无入住 次新小区,https://hz.lianjia.com/ershoufang/103134293693.html,湖悦章府 ,南部卧城,27716元/平,270万,3室2厅 | 97.42平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-04 11:21:29
103130144026,地铁约10几分，滨江物业滨江造，4房边套精装,https://hz.lianjia.com/ershoufang/103130144026.html,朝闻花城 ,南部卧城,29795元/平,327万,4室2厅 | 109.75平米 | 南 | 精装 | 27层  | 暂无数据,2024-08-04 11:21:29
103130411428,采光好 业主诚心出售 户型方正,https://hz.lianjia.com/ershoufang/103130411428.html,美之园西区 ,湘湖,23598元/平,225万,3室2厅 | 95.35平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2024-08-04 11:21:29
103134283985,金色钱塘 4室1厅 东南 西南,https://hz.lianjia.com/ershoufang/103134283985.html,金色钱塘 ,萧山新城区,24435元/平,360万,4室1厅 | 147.33平米 | 东南 西南 | 简装 | 11层  | 板塔结合,2024-08-04 11:21:30
103129318693,奥体东 一线江景房 精装大平层阳台浇筑好的 诚心出售,https://hz.lianjia.com/ershoufang/103129318693.html,众安景海湾 ,萧山科技城,19251元/平,302万,4室2厅 | 156.88平米 | 南 北 | 精装 | 31层  | 板楼,2024-08-04 11:21:30
103134594611,纯毛坯未住过人，中间楼层视野好,https://hz.lianjia.com/ershoufang/103134594611.html,滨江江南之星 ,萧山新城区,41500元/平,372万,3室2厅 | 89.64平米 | 南 | 毛坯 | 34层  | 板楼,2024-08-04 11:21:30
103132679892,房子全新装修 没住过人 拎包入住 户型方正视野好,https://hz.lianjia.com/ershoufang/103132679892.html,德信金科泊岸江宸轩 ,南部卧城,19539元/平,210万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-04 11:21:30
103134171716,自己住，诚心出售，装修保养好，看房方便，价格可谈,https://hz.lianjia.com/ershoufang/103134171716.html,天璞御园 ,钱江世纪城,64558元/平,700万,3室1厅 | 108.43平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-04 11:21:30
103129953396,精装修3房 滨江品质 楼层适中 视野开阔,https://hz.lianjia.com/ershoufang/103129953396.html,庆丰拥涛府 ,萧山新城区,45141元/平,438万,3室1厅 | 97.03平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2024-08-04 11:21:30
103122901991,地铁口，双泳池次新小区，高品质低密度花园小区,https://hz.lianjia.com/ershoufang/103122901991.html,宁东拥潮府 ,萧山新城区,45571元/平,588万,4室2厅 | 129.03平米 | 南 | 精装 | 27层  | 板楼,2024-08-04 11:21:30
103132670938,房东诚心卖，边厅五房，奥体优质小区,https://hz.lianjia.com/ershoufang/103132670938.html,澄之华庭北区 ,钱江世纪城,65406元/平,1058万,5室2厅 | 161.76平米 | 南 | 精装 | 25层  | 板楼,2024-08-04 11:21:30
103125162133,滨江品质   精装修三房    东边套   诚心出售,https://hz.lianjia.com/ershoufang/103125162133.html,悦潮府 ,萧山新城区,35861元/平,350万,3室2厅 | 97.6平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,2024-08-04 11:21:30
103133010001,5号地铁 3房精装 不靠高架不靠山 好楼层 看房方便,https://hz.lianjia.com/ershoufang/103133010001.html,得力名望府 ,萧山开发区,23212元/平,208万,3室2厅 | 89.61平米 | 南 | 精装 | 25层  | 板楼,2024-08-04 11:21:30
103132179788,精装修大三房，从未入住，98方可扩展28方，双地 铁旁,https://hz.lianjia.com/ershoufang/103132179788.html,金地天逸 ,萧山市区,37399元/平,368万,3室2厅 | 98.4平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,2024-08-04 11:21:30
103133086150,银泰旁次新房 采光好 楼层好 诚心出售 看房方便,https://hz.lianjia.com/ershoufang/103133086150.html,东原旭辉璞阅 ,南部卧城,28108元/平,249万,3室2厅 | 88.59平米 | 南 | 精装 | 27层  | 板楼,2024-08-04 11:21:30
103134638177,世纪之光 精装3房 不沿马路 等你来购,https://hz.lianjia.com/ershoufang/103134638177.html,世纪之光 ,钱江世纪城,42054元/平,340万,3室2厅 | 80.85平米 | 南 北 | 精装 | 16层  | 板楼,2024-08-04 11:21:30
103133621655,阳光城上府 3室1厅 南,https://hz.lianjia.com/ershoufang/103133621655.html,阳光城上府 ,西兴,33724元/平,300万,3室1厅 | 88.96平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,2024-08-04 11:21:30
103133516380,金域三江，东边套，精装修，大阳台房东诚心，价格可谈,https://hz.lianjia.com/ershoufang/103133516380.html,金域三江 ,义桥,14573元/平,190万,3室2厅 | 130.38平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,2024-08-04 11:21:30
103134621188,好楼层户型好价格可以谈的看房子有密码,https://hz.lianjia.com/ershoufang/103134621188.html,碧桂园天麓府 ,南部卧城,21662元/平,189万,3室1厅 | 87.25平米 | 南 | 毛坯 | 26层  | 板楼,2024-08-04 11:21:30
103133418062,楼层 视野采光 居住感好 可看泳池 进出方便,https://hz.lianjia.com/ershoufang/103133418062.html,滨江滨涛映月 ,萧山新城区,37784元/平,405万,3室2厅 | 107.19平米 | 南 | 精装 | 26层  | 板塔结合,2024-08-04 11:21:30
103132184569,香悦半岛小区 双阳台户型  精装修好楼层 诚心出售,https://hz.lianjia.com/ershoufang/103132184569.html,新城香悦半岛 ,南部卧城,24195元/平,269万,3室2厅 | 111.18平米 | 东 | 精装 | 低楼层(共30层)  | 板楼,2024-08-04 11:21:30
103133170822,不靠高架，满五年唯一税少，西边套大三房，高楼层,https://hz.lianjia.com/ershoufang/103133170822.html,德信泊林春天 ,钱江世纪城,25728元/平,230万,3室2厅 | 89.4平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,2024-08-04 11:21:30
103130769690,一个单元，大理石地面，高楼层，东边套，采光好,https://hz.lianjia.com/ershoufang/103130769690.html,融创华奥时代奥城 ,钱江世纪城,67324元/平,970万,4室2厅 | 144.08平米 | 南 | 精装 | 32层  | 板楼,2024-08-04 11:21:30
103130012631,近萧山银泰  中间楼层4.5米层高 精装2房 看房方便,https://hz.lianjia.com/ershoufang/103130012631.html,星南站 ,南部卧城,14335元/平,55万,2室2厅 | 38.37平米 | 东 | 精装 | 低楼层(共21层)  | 板楼,2024-08-04 11:21:30
103134302812,满五唯一，高层，房龄新，中间套 小区品质高 楼间距大,https://hz.lianjia.com/ershoufang/103134302812.html,恒大帝景 ,南部卧城,26924元/平,240万,3室1厅 | 89.14平米 | 南 | 精装 | 30层  | 板楼,2024-08-04 11:21:30
103123329723,萧山科技城 总价低 满二唯一 税费少 中楼层 看房方便,https://hz.lianjia.com/ershoufang/103123329723.html,林之语 ,萧山科技城,20908元/平,152万,2室1厅 | 72.7平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,2024-08-04 11:21:30
103113694222,中国铁建 品质小区  高楼层视野好 采光很好,https://hz.lianjia.com/ershoufang/103113694222.html,中国铁建青秀城 ,萧山新城区,36298元/平,320万,3室2厅 | 88.16平米 | 南 北 | 简装 | 18层  | 板塔结合,2024-08-04 11:21:30
103127705531,业主诚心卖，精装修现房，不朝高架，看房子有钥匙！,https://hz.lianjia.com/ershoufang/103127705531.html,景瑞晴海 ,钱江世纪城,27097元/平,265万,3室2厅 | 97.8平米 | 南 | 精装 | 26层  | 板楼,2024-08-04 11:21:30
103129443959,不靠高架，户型好，大阳台采光好，诚心出售，价格可谈,https://hz.lianjia.com/ershoufang/103129443959.html,湘湖人家 ,闻堰,17558元/平,155万,2室2厅 | 88.28平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2024-08-04 11:21:30
103130079717,5号线姑娘桥站300米，精装修边套横厅，诚心出售好楼层,https://hz.lianjia.com/ershoufang/103130079717.html,云彩之城 ,萧山开发区,22715元/平,248万,4室2厅 | 109.18平米 | 南 | 精装 | 18层  | 暂无数据,2024-08-04 11:21:30
