地铁口  毛坯房 50平方私家花园 上下两层叠墅,https://hz.lianjia.com/ershoufang/103133089659.html,云彩之城 ,萧山开发区,39569元/平,400万,3室2厅 | 101.09平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 暂无数据,2024-08-03 23:10:28
高楼层 中间套 三居室 诚心卖 看不到公墓,https://hz.lianjia.com/ershoufang/103132063077.html,乐虹湾 ,湘湖,37905元/平,340万,3室1厅 | 89.7平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-03 23:10:28
滨江三房精装修中高楼层次新房地铁口诚心出售,https://hz.lianjia.com/ershoufang/103131948218.html,滨江御虹府 ,钱江世纪城,54978元/平,565万,3室2厅 | 102.77平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
繁华地带，配套齐，各大综合体齐聚左右500米内,https://hz.lianjia.com/ershoufang/103133669156.html,天润商业中心 ,萧山市区,16602元/平,93万,2室1厅 | 56.02平米 | 北 | 简装 | 低楼层(共22层)  | 板塔结合,2024-08-03 23:10:28
次新小区，万科统一精装修，万科物业，小区品质好,https://hz.lianjia.com/ershoufang/103133233584.html,云章映月华庭 ,萧山新城区,35465元/平,315万,3室2厅 | 88.82平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:10:28
楼层好 精装修交付 纯边套 采光视野辽阔 户型方正,https://hz.lianjia.com/ershoufang/103124975231.html,悦风荷锦庭 ,义桥,18086元/平,178万,3室2厅 | 98.42平米 | 西 | 精装 | 中楼层(共21层)  | 板楼,2024-08-03 23:10:28
临水户型 格局方正 视野景观好 诚心出售 条件可谈,https://hz.lianjia.com/ershoufang/103134193668.html,日耀之城 ,钱江世纪城,58963元/平,848万,4室2厅 | 143.82平米 | 东 南 | 精装 | 24层  | 板楼,2024-08-03 23:10:28
小区19幢开发商精装交付，业主诚心出售，满五无大税,https://hz.lianjia.com/ershoufang/103132242968.html,顺发恒园 ,萧山新城区,39619元/平,349万,3室2厅 | 88.09平米 | 南 | 精装 | 33层  | 板楼,2024-08-03 23:10:28
钱江世纪城板块 振宁路地铁口 大三房 满五年,https://hz.lianjia.com/ershoufang/103119611346.html,恒泰御庭园 ,钱江世纪城,20091元/平,315万,4室2厅 | 156.79平米 | 南 | 精装 | 12层  | 板塔结合,2024-08-03 23:10:28
奥体天璞，四叶草中高层，业主诚心出售。,https://hz.lianjia.com/ershoufang/103131544237.html,天璞御园 ,钱江世纪城,68667元/平,950万,4室2厅 | 138.35平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-03 23:10:28
中间楼层 视野好 采光好 诚心卖,https://hz.lianjia.com/ershoufang/103131281000.html,景宸天玺名城 ,萧山新城区,40328元/平,355万,3室2厅 | 88.03平米 | 南 | 毛坯 | 34层  | 板楼,2024-08-03 23:10:28
"此房新交房户型方正,通透性强,楼层采光好",https://hz.lianjia.com/ershoufang/103128959304.html,保利欣品华庭 ,萧山开发区,23790元/平,228万,3室2厅 | 95.84平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,2024-08-03 23:10:28
精装60万，满五不唯一 拎包入住，看房方便,https://hz.lianjia.com/ershoufang/103123168129.html,华瑞湘湖美地 ,湘湖,24238元/平,305万,3室2厅 | 125.84平米 | 南 北 | 精装 | 7层  | 板楼,2024-08-03 23:10:28
世纪城 崇文 精装三房 楼间距大采光无遮挡,https://hz.lianjia.com/ershoufang/103132183892.html,世纪之光 ,钱江世纪城,37725元/平,305万,3室2厅 | 80.85平米 | 南 | 精装 | 16层  | 板楼,2024-08-03 23:10:28
不靠高架，户型好，大阳台采光好，诚心出售，价格可谈,https://hz.lianjia.com/ershoufang/103129443959.html,湘湖人家 ,闻堰,17558元/平,155万,2室2厅 | 88.28平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2024-08-03 23:10:28
通燃气  两室一厅 宝龙配套成熟商圈,https://hz.lianjia.com/ershoufang/103127965308.html,宝龙城市广场 ,萧山新城区,12655元/平,99万,2室1厅 | 78.23平米 | 南 | 简装 | 23层  | 板楼,2024-08-03 23:10:28
满二唯一，精装修四房，全明户型，采光充足，楼层好,https://hz.lianjia.com/ershoufang/103132417182.html,开元名郡 ,南部卧城,24086元/平,330万,4室2厅 | 137.01平米 | 东南 南 | 精装 | 高楼层(共20层)  | 板楼,2024-08-03 23:10:28
房子全新装修 没住过人 拎包入住 户型方正视野好,https://hz.lianjia.com/ershoufang/103132679892.html,德信金科泊岸江宸轩 ,南部卧城,19539元/平,210万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-03 23:10:28
7号线新街站300米，开发商精装修，复式两房，朝南,https://hz.lianjia.com/ershoufang/103134804258.html,融创印时代 ,萧山开发区,14127元/平,75万,2室2厅 | 53.09平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,2024-08-03 23:10:28
中间楼层，近地铁，业主诚售，包增值税,https://hz.lianjia.com/ershoufang/103128122764.html,中誉现代城 ,萧山新城区,18812元/平,125万,1室1厅 | 66.45平米 | 北 | 简装 | 低楼层(共17层)  | 板楼,2024-08-03 23:10:28
奥邸国际高区大平层  视野开阔 采光充足 诚心出售,https://hz.lianjia.com/ershoufang/103130501472.html,保亿绿城奥邸国际 ,奥体,67063元/平,271万,3室2厅 | 40.41平米 | 东 南 北 | 精装 | 中楼层(共54层)  | 板楼,2024-08-03 23:10:28
5号线地铁口，中间楼层，正对游泳池采光好,https://hz.lianjia.com/ershoufang/103129652690.html,得力名望府 ,萧山开发区,24879元/平,148万,2室2厅 | 59.49平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-03 23:10:28
业主诚心出售，东边套，看房方便,https://hz.lianjia.com/ershoufang/103119274044.html,滨江江南之星 ,萧山新城区,43084元/平,550万,4室2厅 | 127.66平米 | 东 南 北 | 毛坯 | 34层  | 板楼,2024-08-03 23:10:28
近奥体！晴瑞里97方大三房 双阳台，诚心卖！价格可谈,https://hz.lianjia.com/ershoufang/103130080435.html,景瑞晴海 ,钱江世纪城,27398元/平,268万,3室2厅 | 97.82平米 | 南 北 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
"主推房源，市北滨江开发品质小区,楼层好全新未住人！",https://hz.lianjia.com/ershoufang/103133414838.html,滨江滨涛映月 ,萧山新城区,37117元/平,400万,3室2厅 | 107.77平米 | 南 | 精装 | 26层  | 板塔结合,2024-08-03 23:10:28
雅逸府业主自住精装修，看房方便，诚心出售等待有缘人,https://hz.lianjia.com/ershoufang/103132944938.html,中铁诺德雅逸府 ,萧山开发区,26981元/平,235万,3室1厅 | 87.1平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,2024-08-03 23:10:28
地铁口 保利大国璟 开发商精装 品质小区 前排位置,https://hz.lianjia.com/ershoufang/103133264859.html,保利融信大国璟 ,萧山新城区,46636元/平,650万,4室2厅 | 139.38平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,2024-08-03 23:10:28
电梯洋房 通透全明户型 精装27万 领包入住税费少,https://hz.lianjia.com/ershoufang/103134506460.html,滨江江南之星 ,萧山新城区,52316元/平,470万,3室2厅 | 89.84平米 | 南 | 精装 | 9层  | 板楼,2024-08-03 23:10:28
西边套横厅精装修，客厅宽绰，楼层好，太阳无遮无拦,https://hz.lianjia.com/ershoufang/103134127685.html,世纪之光 ,钱江世纪城,47208元/平,596万,4室1厅 | 126.25平米 | 南 | 精装 | 17层  | 板楼,2024-08-03 23:10:28
绿城品质，边套户型，好楼层，精装修，房东诚心出售,https://hz.lianjia.com/ershoufang/103133176515.html,桂语听澜轩 ,萧山新城区,50543元/平,657万,4室2厅 | 129.99平米 | 南 西 北 | 精装 | 高楼层(共26层)  | 板塔结合,2024-08-03 23:10:28
市北版块儿---低总价70年住宅产权,https://hz.lianjia.com/ershoufang/103133458638.html,嘉利公寓 ,萧山新城区,17440元/平,79万,1室1厅 | 45.3平米 | 北 | 简装 | 8层  | 板楼,2024-08-03 23:10:28
五号线地铁 旁，精装全屋定制精装修，采光好,https://hz.lianjia.com/ershoufang/103123446408.html,得力名望府 ,萧山开发区,22995元/平,205万,4室2厅 | 89.15平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:10:28
阳光好，前面是排屋，有露台可出去,https://hz.lianjia.com/ershoufang/103130119414.html,龙湖昱泊名府 ,南部卧城,25731元/平,237万,3室2厅 | 92.11平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-03 23:10:28
小高层三房户型 客厅朝南带阳台 满五唯一 高楼层看江,https://hz.lianjia.com/ershoufang/103134007317.html,江南摩卡 ,闻堰,21477元/平,229万,3室2厅 | 106.63平米 | 南 | 简装 | 中楼层(共14层)  | 板楼,2024-08-03 23:10:28
江南学府 中高楼层 采光视线好 诚心出售,https://hz.lianjia.com/ershoufang/103133384826.html,融信江南学府 ,萧山新城区,38915元/平,340万,3室2厅 | 87.37平米 | 南 | 简装 | 33层  | 板楼,2024-08-03 23:10:28
滨江三房精装修中高楼层次新房地铁口诚心出售,https://hz.lianjia.com/ershoufang/103131948218.html,滨江御虹府 ,钱江世纪城,54978元/平,565万,3室2厅 | 102.77平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
亚运村板块 刚需三房 中间楼层 诚心出售,https://hz.lianjia.com/ershoufang/103134812467.html,顺发康庄 ,钱江世纪城,22483元/平,198万,3室2厅 | 88.07平米 | 南 | 简装 | 29层  | 板楼,2024-08-03 23:10:28
香悦半岛小区 双阳台户型  精装修好楼层 诚心出售,https://hz.lianjia.com/ershoufang/103132184569.html,新城香悦半岛 ,南部卧城,24195元/平,269万,3室2厅 | 111.18平米 | 东 | 精装 | 低楼层(共30层)  | 板楼,2024-08-03 23:10:28
万科世纪之光  崇文旁  自住精装修 保养好 诚售,https://hz.lianjia.com/ershoufang/103133401125.html,世纪之光 ,钱江世纪城,42465元/平,346万,3室2厅 | 81.48平米 | 南 | 精装 | 15层  | 板楼,2024-08-03 23:10:28
钱江世纪城板块 振宁路地铁口 小洋房 得房率高 诚心卖,https://hz.lianjia.com/ershoufang/103132660595.html,顺丰家园 ,钱江世纪城,25907元/平,160万,2室1厅 | 61.76平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,2024-08-03 23:10:28
5号线地铁口，中间楼层，正对游泳池采光好,https://hz.lianjia.com/ershoufang/103129652690.html,得力名望府 ,萧山开发区,24879元/平,148万,2室2厅 | 59.49平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-03 23:10:28
7号线新街站300米，开发商精装修，复式两房，朝南,https://hz.lianjia.com/ershoufang/103134804258.html,融创印时代 ,萧山开发区,14127元/平,75万,2室2厅 | 53.09平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,2024-08-03 23:10:28
房子全新装修 没住过人 拎包入住 户型方正视野好,https://hz.lianjia.com/ershoufang/103132679892.html,德信金科泊岸江宸轩 ,南部卧城,19539元/平,210万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-03 23:10:28
70年产权 小户型 朝南 满五年 高楼层 江景房,https://hz.lianjia.com/ershoufang/103131806623.html,三江花园(萧山) ,闻堰,22370元/平,135万,2室1厅 | 60.35平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,2024-08-03 23:10:28
国际大会展中  心旁 99方 纯边套，地铁口 满两年,https://hz.lianjia.com/ershoufang/103133361744.html,大诚纪名府 ,大江东,18590元/平,185万,3室1厅 | 99.52平米 | 南 | 精装 | 14层  | 板楼,2024-08-03 23:10:28
亚运村新空未住精装4房东向大阳台  急售,https://hz.lianjia.com/ershoufang/103134244075.html,日耀之城 ,钱江世纪城,54875元/平,788万,4室2厅 | 143.6平米 | 南 | 精装 | 30层  | 塔楼,2024-08-03 23:10:28
满二唯一 楼层好  保养好 房东诚心出售看房有密码,https://hz.lianjia.com/ershoufang/103132100274.html,通惠江南名府 ,萧山新城区,30761元/平,275万,3室1厅 | 89.4平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2024-08-03 23:10:28
满二 江景房 万科江湾城 开放式厨房 大横厅 南北通透,https://hz.lianjia.com/ershoufang/103134413931.html,锦浦江岸公寓 ,义桥,21621元/平,250万,3室2厅 | 115.63平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,2024-08-03 23:10:28
雅棠轩大4房  房东出国诚心出售  看房方便,https://hz.lianjia.com/ershoufang/103132059961.html,雅棠轩 ,萧山新城区,31052元/平,400万,4室2厅 | 128.82平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,2024-08-03 23:10:28
此房价格包税看房扣彭继争随时可看诚心卖 价格可谈的,https://hz.lianjia.com/ershoufang/103134018772.html,众安花园 ,萧山市区,18467元/平,255万,3室2厅 | 138.09平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2024-08-03 23:10:28
亚奥板块中间楼幢的中间位置，罕见方正户型南北通,https://hz.lianjia.com/ershoufang/103132113280.html,顺发美颂城 ,钱江世纪城,31225元/平,305万,3室2厅 | 97.68平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-03 23:10:28
次新小区，开发商精装修交房，未入住过，环境好,https://hz.lianjia.com/ershoufang/103121202909.html,宸宇府 ,南部卧城,22798元/平,235万,3室2厅 | 103.08平米 | 南 | 精装 | 33层  | 板塔结合,2024-08-03 23:10:28
君宸，自住装修，7号线，看房方便,https://hz.lianjia.com/ershoufang/103121137448.html,德信君宸 ,萧山新城区,36448元/平,325万,3室2厅 | 89.17平米 | 南 | 精装 | 23层  | 板楼,2024-08-03 23:10:28
次新小区，万科统一精装修，万科物业，小区品质好,https://hz.lianjia.com/ershoufang/103133233584.html,云章映月华庭 ,萧山新城区,35465元/平,315万,3室2厅 | 88.82平米 | 南 | 精装 | 27层  | 板楼,2024-08-03 23:10:28
云章映月华庭  万科品质  高楼层  满二  诚心出售,https://hz.lianjia.com/ershoufang/103133569661.html,云章映月华庭 ,萧山新城区,42369元/平,450万,3室2厅 | 106.21平米 | 东 南 北 | 精装 | 23层  | 板楼,2024-08-03 23:10:28
电梯洋房 通透全明户型 精装27万 领包入住税费少,https://hz.lianjia.com/ershoufang/103134506460.html,滨江江南之星 ,萧山新城区,52316元/平,470万,3室2厅 | 89.84平米 | 南 | 精装 | 9层  | 板楼,2024-08-03 23:10:28
绿城品质，边套户型，好楼层，精装修，房东诚心出售,https://hz.lianjia.com/ershoufang/103133176515.html,桂语听澜轩 ,萧山新城区,50543元/平,657万,4室2厅 | 129.99平米 | 南 西 北 | 精装 | 高楼层(共26层)  | 板塔结合,2024-08-03 23:10:28
房子满二唯一 楼层适中 采光很好 房东诚心 看房方便,https://hz.lianjia.com/ershoufang/103129735923.html,创世邸 ,钱江世纪城,72234元/平,782万,3室2厅 | 108.26平米 | 南 | 精装 | 32层  | 板楼,2024-08-03 23:10:28
朝阳地铁口300米，滨江开发商，品质小区，精装交付,https://hz.lianjia.com/ershoufang/103132358271.html,朝闻花城 ,南部卧城,29094元/平,280万,3室2厅 | 96.24平米 | 南 | 精装 | 27层  | 塔楼,2024-08-03 23:10:28
世纪城 东边套 精装拎包入住 高楼层 无遮挡 房东诚售,https://hz.lianjia.com/ershoufang/103121135574.html,滨江金色江南公寓 ,钱江世纪城,53488元/平,477万,3室2厅 | 89.18平米 | 南 北 东 | 精装 | 27层  | 板楼,2024-08-03 23:10:28
次新电梯房，小区体量大，配套成熟，中间楼层，采光好,https://hz.lianjia.com/ershoufang/103134165184.html,广泽小区 ,南部卧城,16743元/平,125万,2室2厅 | 74.66平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2024-08-03 23:10:28
7号线地铁口此房满二唯一，精装修三开间朝南诚心出售,https://hz.lianjia.com/ershoufang/103131839797.html,中铁诺德雅逸府 ,萧山开发区,22812元/平,202万,3室2厅 | 88.55平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,2024-08-03 23:10:28
三开间朝南，阳光采光好，精装修,https://hz.lianjia.com/ershoufang/103119281018.html,湘湖人家 ,闻堰,17558元/平,155万,2室2厅 | 88.28平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,2024-08-03 23:10:28
精装四十多万，新风系统，从未出租入住过边套隐私性好,https://hz.lianjia.com/ershoufang/103129673050.html,滨江江南之星 ,萧山新城区,39817元/平,355万,3室2厅 | 89.16平米 | 南 | 精装 | 34层  | 板楼,2024-08-03 23:10:28
中高楼层 自住精装 三面朝南 满五唯一 诚心出售,https://hz.lianjia.com/ershoufang/103133179315.html,德圣博奥城 ,萧山新城区,34497元/平,265万,2室1厅 | 76.82平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:10:28
君品名邸 滨江品质 好楼层 景观位置 5室改善 诚心,https://hz.lianjia.com/ershoufang/103127158297.html,君品名邸 ,钱江世纪城,62642元/平,1080万,5室2厅 | 172.41平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:10:28
房东要出国啦 忍痛割爱 含车位 无噪音影响,https://hz.lianjia.com/ershoufang/103125466038.html,滨江新城东方名府 ,萧山新城区,31613元/平,390万,4室2厅 | 123.37平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,2024-08-03 23:10:28
奥体洋房，前排无遮挡，随时看房，诚心出售！,https://hz.lianjia.com/ershoufang/103134575192.html,顺发美哉美城 ,钱江世纪城,52874元/平,438万,3室2厅 | 82.84平米 | 南 | 简装 | 14层  | 板楼,2024-08-03 23:10:28
房子满五不唯一，精装修25万，房东诚心出售,https://hz.lianjia.com/ershoufang/103121163673.html,金域兰庭 ,义桥,17806元/平,160万,3室2厅 | 89.86平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2024-08-03 23:10:28
万科开发 有中Y空调、地暖和新风系统 户型好 采光足,https://hz.lianjia.com/ershoufang/103126158932.html,樟宜翠湾 ,南部卧城,25607元/平,248万,3室2厅 | 96.85平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2024-08-03 23:10:28
金地天逸品质小区 精装交付双地铁龙湖天街 业主诚心卖,https://hz.lianjia.com/ershoufang/103130358389.html,金地天逸 ,萧山市区,45026元/平,730万,4室2厅 | 162.13平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,2024-08-03 23:10:28
多层夹边套，自住精装修，面积多，诚心出售,https://hz.lianjia.com/ershoufang/103134217511.html,御景蓝湾 ,义桥,26625元/平,236万,3室2厅 | 88.64平米 | 南 | 精装 | 11层  | 板楼,2024-08-03 23:10:28
房东诚心出售 看房方便 精装修 拎包入住,https://hz.lianjia.com/ershoufang/103134730068.html,恒大帝景 ,南部卧城,24494元/平,220万,3室1厅 | 89.82平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:10:28
滨江品质小区 地铁口 次新房 精装修 近滨江,https://hz.lianjia.com/ershoufang/103121695966.html,乐虹湾 ,湘湖,38650元/平,340万,3室2厅 | 87.97平米 | 南 | 精装 | 34层  | 板塔结合,2024-08-03 23:10:28
招商央企品质小区 二号线建设一路地铁口 业主诚售,https://hz.lianjia.com/ershoufang/103131906955.html,招商蛇口花屿观澜里 ,萧山新城区,37379元/平,385万,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,2024-08-03 23:10:28
湖滨花园三期 干挂石材 精装 中楼层 视野好 价格好谈,https://hz.lianjia.com/ershoufang/103134472741.html,绿都湖滨花园 ,萧山新城区,28804元/平,365万,3室2厅 | 126.72平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2024-08-03 23:10:28
中间楼层，次新房，一梯两户7层低密小洋房 业主诚售,https://hz.lianjia.com/ershoufang/103132586085.html,钱江蓝湾 ,萧山科技城,22796元/平,198万,3室2厅 | 86.86平米 | 南 西 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,2024-08-03 23:10:28
融创品质地铁口，诚心出售，精装修，价格可谈,https://hz.lianjia.com/ershoufang/103133880598.html,融创东南海 ,萧山开发区,26681元/平,235万,3室2厅 | 88.08平米 | 南 | 简装 | 27层  | 板塔结合,2024-08-03 23:10:28
城市总推荐：博奥城精装修三房 ，中间套户型,https://hz.lianjia.com/ershoufang/103122420890.html,德圣博奥城 ,萧山新城区,35161元/平,290万,3室2厅 | 82.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
江湾城 精装修小三室 诚心出售 看房方便,https://hz.lianjia.com/ershoufang/103130565205.html,锦浦江岸公寓 ,义桥,19163元/平,163万,3室2厅 | 85.06平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,2024-08-03 23:10:28
楼层 视野采光 居住感好 可看泳池 进出方便,https://hz.lianjia.com/ershoufang/103133418062.html,滨江滨涛映月 ,萧山新城区,37784元/平,405万,3室2厅 | 107.19平米 | 南 | 精装 | 26层  | 板塔结合,2024-08-03 23:10:28
纯毛坯未住过人，中间楼层视野好,https://hz.lianjia.com/ershoufang/103134594611.html,滨江江南之星 ,萧山新城区,41500元/平,372万,3室2厅 | 89.64平米 | 南 | 毛坯 | 34层  | 板楼,2024-08-03 23:10:28
奥体板块精工之作，碧桂园开发，滨江物业，两梯两户,https://hz.lianjia.com/ershoufang/103125636477.html,柏峰珑悦府 ,钱江世纪城,45553元/平,548万,3室2厅 | 120.3平米 | 南 | 精装 | 18层  | 板楼,2024-08-03 23:10:28
东旭府 精装修4房 楼层好 户型南北通,https://hz.lianjia.com/ershoufang/103124483714.html,东旭府 ,义桥,16669元/平,200万,4室2厅 | 119.99平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-03 23:10:28
