近地铁 配套成熟 自住精装 中间楼层 业主置换诚售,https://hz.lianjia.com/ershoufang/103131846262.html,恒大帝景 ,南部卧城,"26,870元/平",368万,5室2厅 | 136.96平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
满二唯一 中高楼层 东边户 安静不临街 小区绿化高,https://hz.lianjia.com/ershoufang/103124087614.html,钱江蓝湾 ,萧山科技城,"21,475元/平",275万,4室2厅 | 128.06平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,2024-08-01 22:59:28
精装交付次新房，南北三居，明厨明卫。好楼层,https://hz.lianjia.com/ershoufang/103128225802.html,景瑞晴海 ,钱江世纪城,"29,798元/平",295万,3室2厅 | 99平米 | 南 西 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
房东诚售，精致软装，家电全包，次新小区，精装交付,https://hz.lianjia.com/ershoufang/103130158197.html,新城璟隽公馆 ,萧山新城区,"13,255元/平",54万,1室1厅 | 40.74平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,2024-08-01 22:59:28
高层边套 视野开阔无遮挡 精装带地暖 看房方便 带车位,https://hz.lianjia.com/ershoufang/103134273753.html,顺发江南丽锦 ,钱江世纪城,"43,707元/平",608万,5室2厅 | 139.11平米 | 南 | 精装 | 30层  | 板塔结合,2024-08-01 22:59:28
亚运村板块 刚需三房 中间楼层 诚心出售,https://hz.lianjia.com/ershoufang/103134812467.html,顺发康庄 ,钱江世纪城,"22,483元/平",198万,3室2厅 | 88.07平米 | 南 | 简装 | 29层  | 板楼,2024-08-01 22:59:28
风荷锦庭 精装修大三房 三开间朝南 位置安静 诚心可谈,https://hz.lianjia.com/ershoufang/103120050375.html,悦风荷锦庭 ,义桥,"17,141元/平",164万,3室2厅 | 95.68平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-01 22:59:28
好楼层，精装修，房东诚心出售。,https://hz.lianjia.com/ershoufang/103133518206.html,恒大帝景 ,南部卧城,"24,555元/平",208万,3室2厅 | 84.71平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
日耀之城！边套大三房！业主急售！要做小区首套成交,https://hz.lianjia.com/ershoufang/103134015486.html,日耀之城 ,钱江世纪城,"51,420元/平",652万,4室2厅 | 126.8平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
湖滨花园三期 干挂石材 精装 中楼层 视野好 价格好谈,https://hz.lianjia.com/ershoufang/103134472741.html,绿都湖滨花园 ,萧山新城区,"28,804元/平",365万,3室2厅 | 126.72平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2024-08-01 22:59:28
近钱江世纪城 业主急售 户型优质 价格可谈,https://hz.lianjia.com/ershoufang/103131012547.html,奥悦美筑 ,钱江世纪城,"29,989元/平",329万,3室2厅 | 109.71平米 | 东南 | 精装 | 高楼层(共22层)  | 板楼,2024-08-01 22:59:28
君宸，自住装修，7号线，看房方便,https://hz.lianjia.com/ershoufang/103121137448.html,德信君宸 ,萧山新城区,"36,448元/平",325万,3室2厅 | 89.17平米 | 南 | 精装 | 23层  | 板楼,2024-08-01 22:59:28
滨江开发 地铁口 房东急售 出价就谈,https://hz.lianjia.com/ershoufang/103134436294.html,滨江滨涛映月 ,萧山新城区,"40,260元/平",428万,3室2厅 | 106.31平米 | 南 | 精装 | 26层  | 板塔结合,2024-08-01 22:59:28
精装修7号线新街站，朝南有阳台高楼层采光好，诚心卖,https://hz.lianjia.com/ershoufang/103132723547.html,永和之星 ,萧山开发区,"12,170元/平",46万,1室2厅 | 37.8平米 | 南 | 精装 | 18层  | 塔楼,2024-08-01 22:59:28
"天璞御园，三房，全明户型, 开发商精装修",https://hz.lianjia.com/ershoufang/103131534462.html,天璞御园 ,钱江世纪城,"68,708元/平",745万,3室1厅 | 108.43平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 22:59:28
滨江品质.业主急售 次新小区 视野好 滨江物业,https://hz.lianjia.com/ershoufang/103133462583.html,滨江滨涛映月 ,萧山新城区,"38,142元/平",490万,4室2厅 | 128.47平米 | 西南 | 精装 | 26层  | 板塔结合,2024-08-01 22:59:28
滨江边套户型小区中间位置，采光景观佳,https://hz.lianjia.com/ershoufang/103133563321.html,滨江滨涛映月 ,萧山新城区,"46,566元/平",640万,4室2厅 | 137.44平米 | 南 | 精装 | 27层  | 板塔结合,2024-08-01 22:59:28
中间楼层，近地铁，业主诚售，包增值税,https://hz.lianjia.com/ershoufang/103128122764.html,中誉现代城 ,萧山新城区,"18,812元/平",125万,1室1厅 | 66.45平米 | 北 | 简装 | 低楼层(共17层)  | 板楼,2024-08-01 22:59:28
边上近银泰，生活配套成熟，交通方便,https://hz.lianjia.com/ershoufang/103130403210.html,高运高庄 ,萧山开发区,"26,869元/平",238万,3室2厅 | 88.58平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,2024-08-01 22:59:28
三江汇板块，多层三房，东边套，满五年，诚心出售,https://hz.lianjia.com/ershoufang/103130745799.html,三江路356号 ,闻堰,"15,734元/平",125万,3室2厅 | 79.45平米 | 东南 | 简装 | 中楼层(共5层)  | 塔楼,2024-08-01 22:59:28
买一层多一层，60万精装拎包入住，小区中间阳光不挡，,https://hz.lianjia.com/ershoufang/103123471081.html,顺发美哉美城 ,钱江世纪城,"62,758元/平",610万,4室1厅 | 97.2平米 | 南 | 精装 | 11层  | 板楼,2024-08-01 22:59:28
户型好 ，配套齐全，房东急卖，看房方便,https://hz.lianjia.com/ershoufang/103127288766.html,德信君宸 ,萧山新城区,"33,692元/平",298万,3室1厅 | 88.45平米 | 南 | 简装 | 23层  | 板塔结合,2024-08-01 22:59:28
刚需精装修三房 满五唯一 拎包入住,https://hz.lianjia.com/ershoufang/103131951155.html,奥园 ,南部卧城,"29,205元/平",253万,3室2厅 | 86.63平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2024-08-01 22:59:28
五号线地铁口，自住精装修，满二唯一,https://hz.lianjia.com/ershoufang/103131146691.html,得力名望府 ,萧山开发区,"25,005元/平",149万,2室2厅 | 59.59平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 22:59:28
满五唯一 精装修拎包入住 ，大三房，采光好 看房方便,https://hz.lianjia.com/ershoufang/103130653009.html,奥园 ,南部卧城,"27,864元/平",245万,3室2厅 | 87.93平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2024-08-01 22:59:28
7号线地铁口，楼层好，通透户型，正对花园业主诚心卖,https://hz.lianjia.com/ershoufang/103132381332.html,博印名邸 ,萧山开发区,"28,303元/平",250万,3室2厅 | 88.33平米 | 南 北 | 精装 | 27层  | 板楼,2024-08-01 22:59:28
靠东白马湖 一线湖景 顶楼采光无遮挡 环境优美,https://hz.lianjia.com/ershoufang/103121056476.html,乐虹湾 ,湘湖,"33,734元/平",430万,4室2厅 | 127.47平米 | 南 西 | 精装 | 31层  | 板塔结合,2024-08-01 22:59:28
满五唯一户型好，装修清爽，房东诚心出售，有自行车库,https://hz.lianjia.com/ershoufang/103125276631.html,韩家弄 ,萧山市区,"19,569元/平",157万,3室2厅 | 80.23平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2024-08-01 22:59:28
闻博二期大阳台，楼幢位置+ 采光无遮挡,https://hz.lianjia.com/ershoufang/103132366706.html,闻博花城 ,萧山新城区,"40,669元/平",445万,3室2厅 | 109.42平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,2024-08-01 22:59:28
精装交付，次新小区，房东诚心，地铁15号线,https://hz.lianjia.com/ershoufang/103133519081.html,佳印府 ,南部卧城,"27,265元/平",239万,3室2厅 | 87.66平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2024-08-01 22:59:28
房子全新装修 没住过人 拎包入住 户型方正视野好,https://hz.lianjia.com/ershoufang/103132679892.html,德信金科泊岸江宸轩 ,南部卧城,"19,539元/平",210万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-01 22:59:28
自己住，诚心出售，装修保养好，看房方便，价格可谈,https://hz.lianjia.com/ershoufang/103134171716.html,天璞御园 ,钱江世纪城,"64,558元/平",700万,3室1厅 | 108.43平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-01 22:59:28
国际大会展中  心旁 99方 纯边套，地铁口 满两年,https://hz.lianjia.com/ershoufang/103133361744.html,大诚纪名府 ,大江东,"18,590元/平",185万,3室1厅 | 99.52平米 | 南 | 精装 | 14层  | 板楼,2024-08-01 22:59:28
近奥体滨江 房东诚心卖 不靠高架 满二 采光视野好,https://hz.lianjia.com/ershoufang/103132401281.html,龙湖旭辉春江悦茗 ,萧山新城区,"36,978元/平",300万,3室2厅 | 81.13平米 | 南 | 精装 | 30层  | 板塔结合,2024-08-01 22:59:28
近奥体滨江 满五 夹边套 南北通透 精装30万 中楼层,https://hz.lianjia.com/ershoufang/103134375432.html,龙湖旭辉春江悦茗 ,萧山新城区,"40,628元/平",365万,3室2厅 | 89.84平米 | 南 北 | 精装 | 30层  | 板塔结合,2024-08-01 22:59:28
五号线地铁口，自住精装修，满五唯一 急售,https://hz.lianjia.com/ershoufang/103130109380.html,得力名望府 ,萧山开发区,"26,462元/平",158万,2室1厅 | 59.71平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 22:59:28
世纪城 东边套 精装拎包入住 高楼层 无遮挡 房东诚售,https://hz.lianjia.com/ershoufang/103121135574.html,滨江金色江南公寓 ,钱江世纪城,"53,488元/平",477万,3室2厅 | 89.18平米 | 南 北 东 | 精装 | 27层  | 板楼,2024-08-01 22:59:28
视野开阔 楼层佳 位置好 看房方便 业主诚心出售,https://hz.lianjia.com/ershoufang/103131723238.html,悦风荷锦庭 ,义桥,"18,202元/平",170万,3室2厅 | 93.4平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-01 22:59:28
绿城开发大四房地铁口东门出门楼层好,https://hz.lianjia.com/ershoufang/103134536073.html,绿城九龙仓桂语朝阳 ,南部卧城,"31,398元/平",418万,4室2厅 | 133.13平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,2024-08-01 22:59:28
满五唯一，自住精装，双地铁，地铁5号线金鸡路886米,https://hz.lianjia.com/ershoufang/103134476151.html,顺发堤香名苑 ,萧山新城区,"33,527元/平",260万,3室2厅 | 77.55平米 | 南 | 精装 | 26层  | 板塔结合,2024-08-01 22:59:28
无增值税中高楼层东边套自住精装修大四房,https://hz.lianjia.com/ershoufang/103131659062.html,澜颂奥府 ,萧山新城区,"40,556元/平",470万,4室2厅 | 115.89平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 22:59:28
钱江世纪城板块，2号线振宁路地铁口小户型,https://hz.lianjia.com/ershoufang/103131235158.html,顺丰家园 ,钱江世纪城,"23,964元/平",148万,2室1厅 | 61.76平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,2024-08-01 22:59:28
户型正 满五年 品质好 地铁口,https://hz.lianjia.com/ershoufang/103129946965.html,金域三江 ,义桥,"14,602元/平",138万,2室2厅 | 94.51平米 | 西北 | 简装 | 高楼层(共29层)  | 塔楼,2024-08-01 22:59:28
2号线曹家桥1公里，楼层好视野好，自带幼儿园.满五年,https://hz.lianjia.com/ershoufang/103131752773.html,广泽小区 ,南部卧城,"18,158元/平",138万,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,2024-08-01 22:59:28
滨江品质小区 地铁口 次新房 精装修 近滨江,https://hz.lianjia.com/ershoufang/103121695966.html,乐虹湾 ,湘湖,"38,650元/平",340万,3室2厅 | 87.97平米 | 南 | 精装 | 34层  | 板塔结合,2024-08-01 22:59:28
精装修交付，地铁口，不靠高架，随时看房,https://hz.lianjia.com/ershoufang/103133943216.html,阳光城滨奥悦府 ,钱江世纪城,"63,808元/平",680万,3室2厅 | 106.57平米 | 南 | 精装 | 17层  | 板楼,2024-08-01 22:59:28
风荷锦庭 精装修大三房 三开间朝南 位置安静 诚心可谈,https://hz.lianjia.com/ershoufang/103120050375.html,悦风荷锦庭 ,义桥,"17,141元/平",164万,3室2厅 | 95.68平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-01 22:59:28
好楼层，精装修，房东诚心出售。,https://hz.lianjia.com/ershoufang/103133518206.html,恒大帝景 ,南部卧城,"24,555元/平",208万,3室2厅 | 84.71平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
日耀之城！边套大三房！业主急售！要做小区首套成交,https://hz.lianjia.com/ershoufang/103134015486.html,日耀之城 ,钱江世纪城,"51,420元/平",652万,4室2厅 | 126.8平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
保利潮起云上府 全新大三房 南北通透 业主诚心急卖,https://hz.lianjia.com/ershoufang/103134186459.html,保利潮起云上府 ,萧山新城区,"35,160元/平",360万,3室2厅 | 102.39平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 22:59:28
次新电梯房，配套成熟，中楼层，精装带地暖，业主诚售,https://hz.lianjia.com/ershoufang/103133159995.html,恒大帝景 ,南部卧城,"22,465元/平",202万,3室1厅 | 89.92平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
满二 全新未住人 采光好无遮挡 精装zhong央空调带地暖,https://hz.lianjia.com/ershoufang/103134753746.html,久赋名邸 ,南部卧城,"32,379元/平",320万,3室2厅 | 98.83平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,2024-08-01 22:59:28
房东诚心出售   价格可以谈的  小区环境好  视野开阔,https://hz.lianjia.com/ershoufang/103133029406.html,悦风荷锦庭 ,义桥,"16,946元/平",162万,3室2厅 | 95.6平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 22:59:28
滨江造 奥体世纪城边套户型 景观视野好，采光好。,https://hz.lianjia.com/ershoufang/103132226364.html,君品名邸 ,钱江世纪城,"64,807元/平",799万,4室2厅 | 123.29平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-01 22:59:28
五号线地铁口，全屋精装修，中高楼层，诚心出售,https://hz.lianjia.com/ershoufang/103129784933.html,虹云之城 ,萧山开发区,"23,463元/平",235万,3室2厅 | 100.16平米 | 南 | 精装 | 24层  | 板楼,2024-08-01 22:59:28
满五唯一精装，视野开阔，居住舒适业主诚心出售,https://hz.lianjia.com/ershoufang/103131202140.html,御景蓝湾 ,义桥,"23,891元/平",210万,3室2厅 | 87.9平米 | 南 | 精装 | 27层  | 板塔结合,2024-08-01 22:59:28
滨江御虹府 4室2厅 南,https://hz.lianjia.com/ershoufang/103134308464.html,滨江御虹府 ,钱江世纪城,"56,809元/平",665万,4室2厅 | 117.06平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
地铁口东边套户型好有电梯带地面大车库诚售随时看房,https://hz.lianjia.com/ershoufang/103132968221.html,恒泰御庭园 ,钱江世纪城,"22,967元/平",310万,3室2厅 | 134.98平米 | 南 | 简装 | 6层  | 板塔结合,2024-08-01 22:59:28
高楼层、纯毛坯从未入住、满二年有车位、诚心卖。,https://hz.lianjia.com/ershoufang/103129961110.html,滨江江南之星 ,萧山新城区,"41,049元/平",365万,3室2厅 | 88.92平米 | 南 北 | 毛坯 | 34层  | 板塔结合,2024-08-01 22:59:28
"此房新交房户型方正,通透性强,楼层采光好",https://hz.lianjia.com/ershoufang/103128959304.html,保利欣品华庭 ,萧山开发区,"23,790元/平",228万,3室2厅 | 95.84平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,2024-08-01 22:59:28
次新房低总价西边套采光好两房朝南,https://hz.lianjia.com/ershoufang/103133409095.html,新城璟隽公馆 ,萧山新城区,"29,040元/平",255万,3室2厅 | 87.81平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,2024-08-01 22:59:28
奥邸国际高区大平层  视野开阔 采光充足 诚心出售,https://hz.lianjia.com/ershoufang/103130501472.html,保亿绿城奥邸国际 ,奥体,"67,063元/平",271万,3室2厅 | 40.41平米 | 东 南 北 | 精装 | 中楼层(共54层)  | 板楼,2024-08-01 22:59:28
君品名邸 滨江品质 好楼层 景观位置 5室改善 诚心,https://hz.lianjia.com/ershoufang/103127158297.html,君品名邸 ,钱江世纪城,"62,642元/平",1080万,5室2厅 | 172.41平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 22:59:28
钱江世纪城 中高楼层 房东自住精装带车位 诚心出售,https://hz.lianjia.com/ershoufang/103131649235.html,世纪之光 ,钱江世纪城,"42,710元/平",348万,3室2厅 | 81.48平米 | 南 | 精装 | 15层  | 板楼,2024-08-01 22:59:28
浙二医院旁，精装交付，次新小区，房东诚心,https://hz.lianjia.com/ershoufang/103123861234.html,佳印府 ,南部卧城,"26,677元/平",325万,4室2厅 | 121.83平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2024-08-01 22:59:28
国泰花园 金浦明苑旁 电梯房 中楼层 房东诚心出售,https://hz.lianjia.com/ershoufang/103129681192.html,众安国泰花园 ,萧山新城区,"25,007元/平",365万,3室2厅 | 145.96平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-01 22:59:28
五房开发商精装修，一梯两户，未入住，有车位两个。,https://hz.lianjia.com/ershoufang/103120918491.html,滨江江南之星 ,萧山新城区,"58,270元/平",810万,5室2厅 | 139.01平米 | 南 | 精装 | 11层  | 板楼,2024-08-01 22:59:28
边套户型的好楼层 满五唯一的.,https://hz.lianjia.com/ershoufang/103128683719.html,恒大帝景 ,南部卧城,"28,066元/平",252万,3室2厅 | 89.79平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
楼层，视野好没住过 价格可以谈 诚心出售 随时看房,https://hz.lianjia.com/ershoufang/103125377523.html,嘉宸天誉名轩 ,萧山新城区,"46,855元/平",420万,3室2厅 | 89.64平米 | 南 | 精装 | 34层  | 板楼,2024-08-01 22:59:28
5号地铁 3房精装 不靠高架不靠山 好楼层 看房方便,https://hz.lianjia.com/ershoufang/103133010001.html,得力名望府 ,萧山开发区,"23,212元/平",208万,3室2厅 | 89.61平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 22:59:28
五开间朝南，自住精装，房东诚心出售，大五房户型,https://hz.lianjia.com/ershoufang/103132334397.html,中旅名门府新境 ,萧山新城区,"40,598元/平",720万,5室2厅 | 177.35平米 | 南 西 北 | 精装 | 中楼层(共26层)  | 板塔结合,2024-08-01 22:59:28
市北品质小区 滨江双子 此房视野好位置安静  看房方便,https://hz.lianjia.com/ershoufang/103133963790.html,滨江望涛月明 ,萧山新城区,"38,367元/平",495万,4室2厅 | 129.02平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 22:59:28
圣都精装30万3房2卫 中高楼层 满五唯一 看房方便诚售,https://hz.lianjia.com/ershoufang/103133570792.html,德信泊林春天 ,钱江世纪城,"25,849元/平",230万,3室2厅 | 88.98平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2024-08-01 22:59:28
萧山市区少有的排屋，次新刚交付的小区带露台环境好,https://hz.lianjia.com/ershoufang/103130207581.html,中天云望 ,萧山市区,"56,444元/平",950万,4室1厅 | 168.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2024-08-01 22:59:28
房东诚心出售   看房方便   价格还可以谈的,https://hz.lianjia.com/ershoufang/103133190758.html,悦风荷锦庭 ,义桥,"17,596元/平",168万,3室2厅 | 95.48平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 22:59:28
满二唯一，滨江物业带泳池，洋房后视野好，银河学府,https://hz.lianjia.com/ershoufang/103129340066.html,融信江南学府 ,萧山新城区,"37,565元/平",480万,4室2厅 | 127.78平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2024-08-01 22:59:28
满五唯一，近地铁，业主诚售，电梯房小户型,https://hz.lianjia.com/ershoufang/103133943558.html,中誉现代城 ,萧山新城区,"21,460元/平",100万,1室1厅 | 46.6平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,2024-08-01 22:59:28
边套户型，业主诚售，看房很方便.,https://hz.lianjia.com/ershoufang/103128905212.html,滨江御虹府 ,钱江世纪城,"55,285元/平",658万,4室2厅 | 119.02平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
雅棠轩大4房  房东出国诚心出售  看房方便,https://hz.lianjia.com/ershoufang/103132059961.html,雅棠轩 ,萧山新城区,"31,052元/平",400万,4室2厅 | 128.82平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,2024-08-01 22:59:28
业主自住精装 现代装修风格 楼层采光好 诚心出售,https://hz.lianjia.com/ershoufang/103134137848.html,华瑞晴庐 ,萧山新城区,"30,590元/平",275万,3室2厅 | 89.9平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2024-08-01 22:59:28
蜀山，广宁小区，76方，户型方正，中间楼层，满五唯一,https://hz.lianjia.com/ershoufang/103133381354.html,广宁小区 ,南部卧城,"18,975元/平",145万,2室2厅 | 76.42平米 | 南 | 精装 | 6层  | 平房,2024-08-01 22:59:28
五号线地铁 旁，精装全屋定制精装修，采光好,https://hz.lianjia.com/ershoufang/103123446408.html,得力名望府 ,萧山开发区,"22,995元/平",205万,4室2厅 | 89.15平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 22:59:28
西东边套大三房，带精装修，户型方正，楼层佳，采光好,https://hz.lianjia.com/ershoufang/103129725284.html,湘湖人家 ,闻堰,"22,307元/平",265万,3室2厅 | 118.8平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-01 22:59:28
日耀之城     126方      四房两卫,https://hz.lianjia.com/ershoufang/103134342770.html,日耀之城 ,钱江世纪城,"54,417元/平",690万,4室2厅 | 126.8平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
地铁口，诚心出售，视野宽阔，交通便利,https://hz.lianjia.com/ershoufang/103132276513.html,萧悦中御府 ,萧山新城区,"30,420元/平",270万,3室2厅 | 88.76平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 22:59:28
诚心卖一线江景 视野好 大小莲花尽收眼底,https://hz.lianjia.com/ershoufang/103128454229.html,保亿绿城奥邸国际 ,奥体,"105,493元/平",1965万,4室2厅 | 186.27平米 | 南 | 精装 | 中楼层(共48层)  | 板楼,2024-08-01 22:59:28
雅逸府业主自住精装修，看房方便，诚心出售等待有缘人,https://hz.lianjia.com/ershoufang/103132944938.html,中铁诺德雅逸府 ,萧山开发区,"26,981元/平",235万,3室1厅 | 87.1平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,2024-08-01 22:59:28
户型好 采光好 电梯房  高桥初中,https://hz.lianjia.com/ershoufang/103134859688.html,绿都四季花城 ,南部卧城,"22,833元/平",380万,4室1厅 | 166.43平米 | 南 北 | 精装 | 10层  | 板楼,2024-08-01 22:59:28
精装四十多万，新风系统，从未出租入住过边套隐私性好,https://hz.lianjia.com/ershoufang/103129673050.html,滨江江南之星 ,萧山新城区,"39,817元/平",355万,3室2厅 | 89.16平米 | 南 | 精装 | 34层  | 板楼,2024-08-01 22:59:28
